item,reversed,factor
2,x,affective
3,x,cognitive
5,x,affective
8,6-x,affective
9,x,cognitive
10,x,cognitive
11,x,affective
12,x,cognitive
14,x,cognitive
16,x,cognitive
17,x,affective
18,6-x,affective
